country,callsign,velocity,vertical_rate,bar_altitude
France,TVF8099 ,232.65,0.0,11574.78
Austria,EJU839Z ,235.21,0.0,11277.6
Hungary,WMT2400 ,193.53,0.0,9144.0
Spain,VOE9TN  ,93.85,0.33,914.4
Germany,EWG4UY  ,237.7,0.0,11277.6
Greece,AEE4TS  ,242.99,0.0,10675.62
Austria,EJU46TE ,223.0,0.0,11582.4
Greece,AEE2AD  ,239.99,0.0,10668.0
Greece,AEE711  ,246.07,0.33,10660.38
Greece,AEE2EG  ,236.96,0.0,11590.02
Iceland,ICE62L  ,69.48,-4.23,114.3
Sweden,NSZ83AH ,234.52,0.0,11277.6
Sweden,NSZ2CP  ,231.36,0.0,10363.2
Brazil,TAM8121 ,226.29,2.6,9433.56
Spain,IBS18JK ,251.85,-14.63,8618.22
Hungary,WMT1XA  ,224.42,0.0,10965.18
Hungary,WZZ3CR  ,236.97,0.0,11277.6
Hungary,WMT4ZT  ,239.2,0.0,10660.38
Hungary,WMT3182 ,161.55,-9.75,4846.32
Hungary,WMT916  ,151.29,-5.85,1767.84
Hungary,WZZ2AV  ,225.4,0.0,10972.8
Poland,SPFWB   ,138.55,0.0,9144.0
Sweden,NSZ3643 ,187.79,14.31,5631.18
Austria,EJU1930 ,225.98,0.0,10965.18
Hungary,WZZ4009 ,201.78,10.4,6088.38
Hungary,WZZ6EJ  ,224.3,0.0,10972.8
Austria,BOM1    ,187.9,-10.73,3787.14
United Kingdom,EXS22EF ,222.59,0.0,10972.8
Austria,EJU96VD ,130.45,-3.58,1981.2
Turkey,MNB1547 ,246.05,0.0,10972.8
Israel,ELY519  ,225.29,0.0,11582.4
Germany,DLH752  ,259.0,-0.33,10668.0
Austria,EJU49PY ,71.05,-3.9,22.86
Austria,EJU47DE ,216.53,-4.88,10652.76
Austria,AUA61HK ,226.38,-14.96,6019.8
United Arab Emirates,UAE6JL  ,138.47,-6.5,2667.0
China,CES244  ,176.13,3.9,3329.94
Hungary,WMT1TG  ,228.69,0.0,10972.8
Hungary,WMT7BV  ,237.25,0.33,10355.58
United Kingdom,BAW694  ,248.53,0.33,10660.38
United Arab Emirates,UAE62T  ,252.41,0.0,11582.4
United States,EAGLE7  ,85.59,0.0,3352.8
Austria,EJU678J ,232.02,0.33,11277.6
France,CCM91YD ,43.21,0.0,0.0
France,CCM50LV ,121.53,3.25,5676.9
Austria,EJU743A ,240.16,-5.2,10607.04
Austria,OEFAF   ,173.64,-11.38,6027.42
Hungary,WMT2GP  ,214.13,0.0,10957.56
Italy,IOZZK   ,44.03,0.0,769.62
San Marino,T7SLA   ,251.18,0.0,10363.2
Turkey,THY9ML  ,236.34,0.33,11277.6
United Kingdom,EXS89R  ,224.85,11.38,6667.5
Turkey,THY3XR  ,239.29,0.0,10668.0
Turkey,THY1MW  ,234.0,-0.33,10675.62
Turkey,THY6GF  ,253.19,0.0,10058.4
Belgium,BEL5UC  ,219.76,0.33,11574.78
Morocco,RAM910T ,272.18,-0.33,11887.2
Greece,AEZ2340 ,67.7,-3.9,83.82
Cyprus,CYP323  ,259.57,0.0,11277.6
Israel,HFA131  ,118.92,0.0,7307.58
Belgium,BEL3KH  ,160.6,-15.28,4754.88
Belgium,BEL1VC  ,222.81,0.0,11582.4
Turkey,THY1KQ  ,256.75,0.0,10972.8
United Kingdom,EZY63VX ,228.24,0.0,11574.78
United Arab Emirates,UAE1GP  ,134.47,-5.2,2522.22
Spain,VOE1779 ,223.75,0.0,9745.98
Turkey,THY7CT  ,252.8,-0.33,10370.82
Morocco,RAM947B ,248.28,0.0,10660.38
Poland,ENT8HF  ,241.21,0.0,11277.6
Switzerland,SFS21   ,73.0,0.0,2286.0
Sweden,SAS81L  ,240.28,0.0,11887.2
Sweden,SAS2768 ,237.77,0.33,11574.78
Spain,VLG70PQ ,235.45,-4.88,10881.36
Luxembourg,LXLLL   ,148.66,0.0,8534.4
United States,DAL241  ,239.0,0.0,9753.6
United States,DAL67   ,247.06,0.0,9753.6
Spain,IBE06DC ,206.85,-12.35,5410.2
China,CPA068  ,255.8,0.0,10058.4
Turkey,THY2WF  ,232.02,-0.33,11277.6
Turkey,THY597  ,214.01,-0.33,10363.2
China,CPA372  ,263.3,0.0,10363.2
China,CSC3896 ,271.62,2.93,10142.22
Italy,IAIRS   ,42.56,0.65,609.6
Kingdom of the Netherlands,PHJRC   ,175.18,-0.33,6096.0
Jordan,RJA111  ,252.84,-0.33,12192.0
Spain,VLG3070 ,244.88,0.0,10370.82
Italy,DLA2CA  ,3.34,0.0,0.0
Spain,VLG57EM ,197.56,11.7,6019.8
Poland,LOT3TD  ,237.17,0.0,10363.2
Azerbaijan,AHY074  ,235.5,0.33,10668.0
United Kingdom,EZY52TN ,221.4,0.0,10363.2
Brazil,TAM8073 ,248.92,0.0,9448.8
Turkey,FHY1322 ,238.51,0.0,10073.64
Luxembourg,LXA32B  ,237.09,-0.33,13106.4
Finland,FIN24Q  ,231.47,0.0,10363.2
Italy,ICNTQ   ,33.88,-0.33,441.96
Morocco,RAM955V ,3.09,0.0,0.0
Denmark,BIO04   ,66.13,0.65,396.24
Luxembourg,LGL521F ,165.73,0.33,7620.0
Spain,VLG1SE  ,224.61,9.43,9646.92
Spain,VLG90KK ,226.85,-0.33,10660.38
China,CES5014 ,220.87,6.18,9768.84
Lebanon,MEA235  ,259.92,4.88,10515.6
China,CPA234  ,252.06,0.0,9448.8
Czech Republic,TVS3214 ,244.84,0.0,10668.0
Kingdom of the Netherlands,KLM98X  ,231.57,0.33,12192.0
Germany,GEC8401 ,253.77,0.0,10363.2
Ireland,RYR9534 ,233.16,-0.33,11277.6
Turkey,THY6JS  ,250.21,0.0,11582.4
Turkey,THY8BR  ,237.91,0.0,12192.0
Turkey,THY51Z  ,241.07,0.0,12192.0
Latvia,BTI2MZ  ,225.45,0.0,10972.8
Turkey,THY6412 ,244.5,0.0,11887.2
United Kingdom,EZY15FT ,229.94,0.0,11582.4
Qatar,QTR8053 ,266.24,0.0,12496.8
Latvia,SWR5LD  ,171.34,-12.68,3779.52
Latvia,SWR2274 ,98.27,-5.85,1051.56
Latvia,BTI3FT  ,229.55,0.0,10972.8
Germany,SCR744  ,212.97,0.0,12496.8
United Kingdom,EZY58UH ,239.37,0.0,11277.6
United Kingdom,TOM358  ,242.0,0.0,10058.4
United States,AAL239  ,247.89,0.0,9144.0
Ireland,RYR8113 ,223.36,0.0,10668.0
Ireland,EIN404  ,176.02,-16.91,5021.58
France,AFR1285 ,225.48,0.0,11582.4
Turkey,THY6NG  ,188.68,-4.23,7048.5
Austria,AUA523  ,104.89,-2.28,891.54
Austria,AUA34X  ,229.09,0.33,10363.2
Jordan,RJA117  ,227.31,0.0,10965.18
Jordan,RJA109  ,228.35,0.0,11582.4
Jordan,RJA107  ,209.12,0.0,10965.18
Turkey,RHH117  ,266.28,-0.65,11277.6
Czech Republic,DFC3ZL  ,180.84,12.35,4267.2
United Kingdom,WUK2QW  ,231.73,0.33,10980.42
Ireland,RYR8HA  ,137.86,-10.4,3352.8
Switzerland,HBTDZ   ,69.55,-9.1,3634.74
Ireland,RYR81BC ,226.0,8.78,9631.68
Czech Republic,TVS2740 ,233.55,-0.33,10668.0
Spain,IBE08RW ,245.25,0.0,10058.4
Jordan,RJA101  ,71.11,-3.9,220.98
France,TVF3885 ,215.36,0.0,10363.2
United Kingdom,EXS61AB ,245.8,0.65,10668.0
Germany,DFARO   ,46.82,5.2,3329.94
United States,AAL53   ,97.78,10.08,624.84
United Kingdom,EFW12LS ,228.68,3.58,10027.92
United Kingdom,EZY37GY ,221.72,0.33,11574.78
United Kingdom,BAW552F ,120.57,-5.85,1859.28
Austria,EJU89AW ,118.95,-2.93,1760.22
Poland,RYR653Z ,147.65,-5.53,2430.78
Poland,RYR29HK ,1.8,0.0,0.0
Poland,RYR9YZ  ,231.23,-0.33,11887.2
Poland,RYR2RE  ,229.98,0.0,11582.4
Poland,RYR21WA ,236.24,0.0,10972.8
Poland,RYR593Y ,235.14,0.0,11887.2
United States,DAL113  ,246.35,0.0,9753.6
Poland,RYR98FC ,205.03,-12.03,6019.8
Poland,RYR15HE ,212.89,0.0,10058.4
Poland,RYR39DD ,244.85,-0.33,11269.98
China,CPA260  ,257.2,0.0,10668.0
Austria,EJU91WF ,214.47,7.48,9403.08
Spain,IBE08EE ,236.75,0.33,10668.0
Qatar,QQE733  ,150.25,-7.48,2857.5
Greece,SEH7EL  ,234.94,0.0,11277.6
Greece,SEH2TL  ,199.94,6.83,7437.12
Republic of Moldova,FIA5231 ,231.18,-0.33,10980.42
Austria,EJU79QN ,191.78,-5.2,8778.24
Poland,RYR46JB ,229.78,0.0,11285.22
Poland,RYR19NG ,234.48,-4.88,11018.52
Poland,RYR43DL ,214.42,0.0,10058.4
