country,callsign,velocity,vertical_rate,bar_altitude
France,TVF96AA ,237.38,-0.33,11582.4
France,TVF47ZR ,199.54,-10.4,4899.66
Hungary,WMT674  ,231.92,-0.33,10363.2
Estonia,MBU8KZ  ,186.35,0.33,10980.42
Germany,EWG19BZ ,172.51,14.31,4892.04
Germany,EWG7R   ,180.29,11.7,4914.9
Greece,AEE3LP  ,199.43,9.75,4251.96
Spain,VLG97WN ,193.15,-0.33,10972.8
Sweden,NSZ5715 ,242.31,0.0,11887.2
France,AFR46LL ,68.38,-0.33,-60.96
Sweden,NSZ24J  ,229.27,0.0,10363.2
Sweden,NSZ8PV  ,204.76,0.0,9753.6
Sweden,NOZ9311 ,269.16,0.0,10668.0
Spain,GES381L ,3.6,0.0,0.0
Spain,IBE0581 ,184.31,0.0,10980.42
Spain,AEA37UJ ,98.38,5.2,1051.56
Spain,AEA5048 ,112.16,10.08,601.98
Spain,VLG1WD  ,209.63,0.33,10363.2
Spain,IBS15SX ,196.02,9.43,4465.32
Hungary,WZZ9BM  ,225.61,0.0,10378.44
Hungary,WZZ4707 ,228.94,0.0,10363.2
Spain,VLG4RH  ,71.14,-3.9,220.98
Hungary,WZZ22PZ ,224.82,0.0,10363.2
France,FGIJO   ,48.38,5.2,152.4
Austria,EJU305J ,210.42,-4.88,8717.28
Spain,VLG7MH  ,247.26,3.25,8961.12
Spain,VLG69YY ,209.76,0.33,9761.22
Spain,7777XASP,0.0,0.0,0.0
Argentina,ARG1133 ,8.23,0.0,0.0
Austria,BCS939  ,238.19,17.88,7559.04
Austria,EJU48HQ ,278.91,0.33,10668.0
Austria,EJU78AT ,188.68,-0.33,11582.4
Austria,EJU35PG ,265.77,0.33,10058.4
Spain,ECMSC   ,220.09,-1.3,12184.38
Germany,LEJ888  ,148.48,13.0,4846.32
Hungary,WMT2YB  ,196.05,0.0,10363.2
Spain,GES641R ,229.73,0.0,8839.2
Spain,AEA13QD ,92.09,12.68,708.66
Austria,EJU79VG ,218.48,-10.73,9029.7
Hungary,WZZ1TX  ,2.57,0.0,0.0
Hungary,WZZ576  ,113.92,0.0,1211.58
Austria,EJU92FC ,186.47,0.0,10972.8
Poland,ENT5JC  ,233.58,-0.33,10972.8
Spain,IBE07BB ,69.66,-2.93,601.98
Spain,IBS1671 ,218.79,0.0,9136.38
United States,N7JP    ,222.35,12.68,9951.72
Spain,VLG6UT  ,136.72,-8.78,2461.26
Spain,VLG7XR  ,233.66,0.0,10668.0
Spain,VLG4DR  ,66.88,-0.65,22.86
Spain,ANE97CX ,194.98,-6.83,5273.04
Turkey,THY5LH  ,243.68,-0.33,9761.22
Morocco,MAC375  ,225.89,0.0,11582.4
Morocco,RAM803  ,245.63,-0.33,11277.6
Spain,ECNIK   ,18.06,2.6,60.96
Spain,SVA2498 ,187.32,0.65,12192.0
Spain,VLG7DP  ,47.33,0.0,0.0
Belgium,BEL6LX  ,150.7,-5.2,3025.14
Morocco,RAM951X ,232.92,0.33,11277.6
Morocco,RAM776Z ,241.37,8.78,8801.1
Morocco,RAM953Q ,233.49,0.0,11277.6
Spain,VLG47PA ,217.03,0.0,11285.22
Morocco,RAM789H ,243.89,0.0,11277.6
Turkey,THY9DQ  ,236.57,0.0,9753.6
Turkey,THY4SC  ,131.74,8.13,2720.34
United Kingdom,TOM69Y  ,203.24,0.0,10965.18
Sweden,SAS1804 ,209.46,0.33,10980.42
Sweden,BLX9BK  ,205.38,0.0,10668.0
Morocco,RAM640B ,225.14,0.0,11582.4
United States,TWY219  ,125.32,-5.85,1181.1
Kingdom of the Netherlands,TRA6856 ,192.78,-0.33,12192.0
Portugal,RVP180  ,42.15,0.33,731.52
Portugal,ADM417S ,43.73,0.65,1066.8
France,AFR647  ,214.84,0.0,10972.8
France,AFR718  ,248.53,0.0,10668.0
Spain,VLG1WZ  ,251.44,-0.33,10972.8
Spain,LVL25DU ,279.36,0.0,11277.6
United Kingdom,TOM99J  ,201.1,0.33,10972.8
Spain,VLG3PV  ,225.24,-7.8,9349.74
Spain,VLG77RP ,226.95,-11.05,8389.62
Spain,VLG1QW  ,7.72,0.0,0.0
France,FPO273  ,246.06,-22.76,7757.16
Spain,VLG26PB ,216.46,-6.5,7703.82
Norway,SAS2802 ,192.85,0.0,10972.8
Kingdom of the Netherlands,TRA7E   ,222.99,0.0,11582.4
Spain,IBS1668 ,196.08,-16.58,8641.08
Spain,IBS16HM ,219.17,10.08,6835.14
Spain,VLG89WN ,229.45,0.33,9456.42
United Kingdom,EZY64UP ,0.0,0.0,0.0
Portugal,NJE022C ,96.42,-4.23,1120.14
Portugal,RVP261  ,45.98,3.25,731.52
Portugal,NJE115W ,216.03,-0.33,12192.0
Portugal,FM077   ,5.92,0.0,0.0
Spain,QFY83J  ,29.4,-0.98,640.08
United Kingdom,TOM2GN  ,201.6,6.18,11071.86
Morocco,RAM765B ,241.69,-0.33,12496.8
Spain,VLG59CA ,81.49,13.66,83.82
Spain,VLG9VT  ,222.59,3.9,9166.86
Morocco,RAM941J ,225.84,-5.2,11186.16
Morocco,RAM931G ,210.54,-4.55,9669.78
Spain,VLG54EN ,147.47,11.7,2308.86
Spain,VLG11CK ,199.28,-0.33,10980.42
United Kingdom,EZY29VZ ,147.85,-10.08,2872.74
Luxembourg,LGL372  ,222.3,0.0,11582.4
Czech Republic,OKVPL   ,97.14,-2.28,2667.0
Ireland,RYR4UM  ,228.11,0.0,11582.4
Ireland,RYR8197 ,238.69,5.2,9959.34
Latvia,ASL79B  ,204.16,2.28,10774.68
Czech Republic,TVP7604 ,219.35,-0.33,11277.6
Kingdom of the Netherlands,TRA27L  ,268.51,-4.55,10767.06
Qatar,QTR8765 ,79.95,-4.23,632.46
Kingdom of the Netherlands,PHAPF   ,46.43,2.6,2156.46
Latvia,BTI7MP  ,273.8,0.0,11277.6
Germany,HRN611  ,138.25,-0.65,1478.28
Czech Republic,WEY24D  ,44.97,-1.3,914.4
United Kingdom,EZY98EY ,266.36,0.0,10972.8
United Kingdom,TOM655  ,279.23,0.0,10972.8
Ireland,RYR21BP ,226.13,0.0,11582.4
Ireland,RYR321U ,248.72,0.33,11277.6
Czech Republic,TVS52A  ,217.82,-12.03,7970.52
United Kingdom,EXS47DE ,237.77,0.0,10363.2
United States,N776EE  ,219.97,-0.33,13106.4
Spain,IBE06PA ,191.06,0.0,10363.2
France,TJT36GI ,102.59,9.43,3916.68
Spain,VLG2RW  ,92.27,-4.55,1280.16
Ireland,RYR81SH ,195.25,9.75,5265.42
Spain,GLJ77C  ,229.25,-8.13,7193.28
Ireland,RYR65UT ,85.17,-5.2,830.58
France,TVF8031 ,246.05,0.0,10972.8
France,TVF55VK ,228.29,0.0,10972.8
Poland,LOT3TD  ,152.65,4.55,3025.14
France,TVF91QB ,10.29,0.0,0.0
Austria,AUA405  ,219.02,-7.15,6286.5
Austria,EJU47ML ,219.86,0.0,10363.2
Poland,RYR28BT ,206.6,0.0,10363.2
France,AFR706  ,242.13,0.0,11277.6
France,AFR594  ,293.51,0.33,11277.6
United Kingdom,RUK9KE  ,116.83,-4.55,1729.74
United Kingdom,TOM5AJ  ,202.69,0.0,10972.8
United Kingdom,EXS73R  ,191.48,0.0,10972.8
Poland,RYR76QY ,248.31,-0.33,11277.6
Poland,RYR917Q ,124.5,4.23,1927.86
Poland,RYR53HX ,75.93,-4.55,91.44
Germany,ECA2SJ  ,190.04,-10.08,5120.64
Denmark,JTD760  ,186.37,-0.33,10972.8
Poland,RYR9775 ,172.11,-7.8,4213.86
Poland,RYR58HG ,223.8,0.33,11277.6
Poland,RYR65TJ ,186.16,0.0,11277.6
Spain,VLG11KG ,243.44,0.0,10668.0
Spain,VLG78JV ,247.52,-0.65,11285.22
Spain,VLG21UU ,8.23,0.0,0.0
United States,N691CC  ,100.23,0.0,906.78
Spain,VOE3734 ,206.28,0.0,9144.0
Spain,VLG42TG ,135.35,18.53,1927.86
United Kingdom,TOM6NX  ,204.95,0.33,11277.6
Spain,SGP471  ,159.67,-0.33,10972.8
Spain,IBS1581 ,184.07,-8.78,5852.16
Spain,FIN08PL ,281.61,0.33,10660.38
Spain,VLG6FX  ,223.93,0.0,10980.42
Austria,EJU69ZF ,166.87,9.1,3345.18
Iceland,ICE581  ,197.72,0.0,10363.2
Poland,RYR922M ,260.53,0.0,11277.6
United Kingdom,TOM7BA  ,216.03,0.33,10965.18
Germany,PAV532H ,153.27,-6.18,3771.9
Spain,IBE0921 ,246.15,0.0,9456.42
Spain,FIN01AD ,245.84,-14.63,8442.96
Spain,IBS15NB ,256.85,0.33,10980.42
Austria,EJU12XT ,219.34,0.0,11285.22
Portugal,TAP1558 ,71.75,-3.58,144.78
Portugal,TAP1932 ,103.75,-9.75,2072.64
Portugal,TAP37CN ,212.34,10.73,4922.52
Portugal,TAP863Y ,235.75,0.33,11887.2
Austria,EJU65XC ,87.61,-4.88,647.7
Portugal,TAP029  ,216.06,6.18,7330.44
Portugal,TAP282  ,235.45,0.0,12192.0
Portugal,TAP035  ,229.89,3.9,8023.86
Portugal,TAP011  ,286.64,0.0,11277.6
Germany,DLH89T  ,141.25,18.86,2346.96
Germany,DLH29H  ,177.88,20.81,9540.24
Portugal,TAP009  ,231.23,4.88,9098.28
Portugal,TAP253R ,267.5,1.3,9913.62
Kingdom of the Netherlands,TRA94A  ,226.39,7.48,9906.0
Austria,EJU86DW ,168.1,14.63,3939.54
France,FHFID   ,66.95,-2.6,1082.04
France,TVF88EP ,219.48,-0.33,11590.02
France,TVF13QL ,111.12,-0.33,975.36
Greece,AEE4090 ,188.88,-3.58,6812.28
Germany,CFG3EA  ,273.65,0.33,11277.6
Germany,LHX02A  ,240.2,0.33,11582.4
United Kingdom,EXS74DF ,204.49,0.0,10363.2
Algeria,DAH1008 ,222.61,0.0,10972.8
Algeria,DAH2014 ,152.32,-3.25,3147.06
Algeria,DAH6118 ,199.01,-13.66,5814.06
France,TJT1518 ,136.02,-0.65,5791.2
France,TVF3372 ,198.71,0.0,11582.4
Sweden,SAS11M  ,219.05,3.9,9364.98
Germany,EWG4UJ  ,233.07,4.55,7086.6
Switzerland,SWR82L  ,68.2,-3.9,83.82
Germany,DLH55M  ,219.0,4.88,9951.72
Portugal,TAP835  ,248.47,0.0,10668.0
Portugal,TAP555  ,274.28,0.0,10668.0
Portugal,TAP1542 ,129.3,-6.18,2362.2
Austria,EJU63DC ,227.61,-0.65,11582.4
France,AFR1277 ,217.14,-0.33,10972.8
Portugal,TAP1017 ,163.43,-6.83,3710.94
Portugal,TAP437  ,265.76,0.0,11285.22
United Kingdom,BAW425  ,203.38,7.15,5996.94
Austria,EJU32PC ,209.05,0.0,11277.6
United Kingdom,EXS77HF ,198.0,0.0,10363.2
United Kingdom,TOM17T  ,194.27,0.0,10972.8
Kingdom of the Netherlands,KLM33K  ,257.7,-9.75,9387.84
Portugal,TAP38KJ ,198.11,8.78,6659.88
Portugal,TAP4TL  ,157.0,14.96,3703.32
Portugal,TAP403Z ,202.87,6.5,7962.9
Ireland,RYR327E ,235.45,-0.33,11887.2
Ireland,NOS1351 ,263.04,0.0,10668.0
Kingdom of the Netherlands,TRA11R  ,0.0,0.0,0.0
Kingdom of the Netherlands,TRA72U  ,245.85,-4.23,9639.3
